Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout,Revenue_lag_1m,Revenue_rolling_6m,Revenue_rolling_12m,Revenue_YoY_Growth,Net_Income_Margin,ROA_calc,Debt_to_Equity_Rolling12,Cash_Flow_Rolling12,Operating_Efficiency
2015-01-31,154889167.15,89163253.94,8125745427.37,5772408712.16,1500881194.07,253270622.98,130886302.75,65725913.14,172.05,0.29,8.01,32111151.55,25032780.47,47250985.81,,,,,25.950863296605142,0.8088601067738966,,,57.57
2015-02-28,153633275.32,68585810.15,7924954417.03,5720203584.01,1395959879.43,264941835.01,114644481.17,85047465.2,143.41,0.46,11.89,26225770.59,21692375.36,44159505.5,253270622.98,,,,32.10042883442321,1.0731603076131366,,,44.64
2015-03-31,164110990.46,69978043.2,10026463017.07,7388243525.9,1759300822.55,263150021.08,123158075.57000001,94132947.27,200.22,0.32,12.68,32992299.8,25597469.0,42533062.1,264941835.01,,,,35.77159024485988,0.9388450055591804,,,42.64
2015-04-30,162645456.57999998,78470383.14999999,7216134303.3,7174264470.99,1560985526.0,232021165.42,109903547.65,84175073.37,201.33,0.5,17.05,30196461.15,23018399.37,43936039.19,263150021.08,,,,36.27904946414177,1.1664842952203096,,,48.25
2015-05-31,162293135.33,84757367.47,7685886794.27,6434977796.96,1804726351.77,264551398.29,158208699.83,77535767.87,115.98,0.47,13.48,34357941.33,22841587.9,45952421.29,232021165.42,,,,29.30839465267375,1.0088070504473816,,,52.22
2015-06-30,151324024.81,73346691.82,8316817437.2699995,6128868043.86,1666418033.2,241506015.81,123453597.42,77977332.97,138.75,0.35000000000000003,11.53,33270707.46,21717208.67,46004644.76,264551398.29,253240176.43166664,,,32.287946413453774,0.9375862047970612,,,48.47
2015-07-31,175476243.28,91601631.24,8066344832.16,5849880675.059999,1722216308.01,247275458.9,141283657.34,83874612.07,152.75,0.56,11.97,33803877.34,24349361.6,45059534.67,241506015.81,252240982.41833332,,,33.91950517172814,1.039809403332192,,,52.2
2015-08-31,181333225.85,88971173.73,8589577170.66,6954321485.64,1827688175.84,268327914.13,136108612.95,92362052.13,164.32,0.47000000000000003,13.51,32592339.27,23295656.4,36239628.62,247275458.9,252805328.9383333,,,34.42133571136854,1.0752805440236024,,,49.07
2015-09-30,190375229.49,86140312.61,9192912624.01,6250753117.59,1803698023.58,257045661.95,125506089.98,104234916.87,143.99,0.51,15.09,28978250.85,22585263.14,48042705.19,268327914.13,251787935.75,,,40.551128573519975,1.1338617164462088,,,45.25
2015-10-31,160821581.64,90868484.02,8625994793.04,5551464228.59,1823409117.27,247898086.05,104350280.33,69953097.63,130.25,0.28,10.040000000000001,35355982.0,23368169.29,45099495.93,257045661.95,254434089.1883333,,,28.218490406533736,0.8109568728982145,,,56.5
